Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,0.1u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,17,1N4148W,
"J1, J2, J3, J4",JST_SHL_SM05B-SHLS-TF_1x05-1MP_P1.00mm_Horizontal,4,Conn_01x05,
J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_3_Open,
"R1, R2",0805,2,4K7,
R3,0805,1,10K,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_MX_reversible,17,SW_SPST,
SW18,SW_SPST_SKQG_WithStem,1,SW_Push,
SW19,switch-MSK-12C02-smd,1,SW_SPDT,
U1,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9555PWR,
U2,xiao-ble-tht-bodge,1,xiao-ble,
