Designator,Mid X,Mid Y,Rotation,Layer
C1,162.89,-124.3025,0.0,top
D1,124.29,-72.3775,90.0,top
D10,184.49,-86.565,90.0,top
D11,124.29,-110.4775,90.0,top
D12,143.34,-105.615,90.0,top
D13,162.39,-100.9525,90.0,top
D14,181.44,-105.715,90.0,top
D15,184.49,-105.615,90.0,top
D16,160.0088,-129.5275,90.0,top
D17,174.965,-129.5275,90.0,top
D2,143.34,-67.515,90.0,top
D3,162.39,-62.8525,90.0,top
D4,181.44,-67.615,90.0,top
D5,184.49,-67.515,90.0,top
D6,124.29,-91.4275,90.0,top
D7,143.34,-86.565,90.0,top
D8,162.39,-81.9025,90.0,top
D9,181.44,-86.665,90.0,top
J1,132.7,-127.845,90.0,top
J2,196.314269,-88.519062,90.0,top
J3,196.314695,-88.51204,270.0,bottom
J4,196.31,-69.545,270.0,bottom
J5,132.19,-138.705,90.0,top
R1,190.52,-90.947411,90.0,top
R2,188.545,-90.947411,90.0,top
R3,186.57,-90.947411,90.0,top
SW1,116.29,-67.3775,0.0,top
SW10,192.49,-81.665,0.0,top
SW11,116.29,-105.4775,0.0,top
SW12,135.34,-100.715,0.0,top
SW13,154.39,-95.9525,0.0,top
SW14,173.44,-100.715,0.0,top
SW15,192.49,-100.715,0.0,top
SW16,152.0088,-124.5275,0.0,top
SW17,182.965,-124.5275,0.0,top
SW18,117.367369,-131.600635,0.0,bottom
SW19,124.113797,-131.751634,0.0,bottom
SW2,135.34,-62.615,0.0,top
SW3,154.39,-57.8525,0.0,top
SW4,173.44,-62.615,0.0,top
SW5,192.49,-62.615,0.0,top
SW6,116.29,-86.4275,0.0,top
SW7,135.34,-81.665,0.0,top
SW8,154.39,-76.9025,0.0,top
SW9,173.44,-81.665,0.0,top
U1,168.29,-120.615,180.0,top
